campaign,date,cost,impressions,clicks,sessions,transactions,revenue,revenue_web,revenue_app,Medio,TipoCampaña
aw_chedraui_ecomm_think_dsa_general,2024-12-21,"$6,285.21","38,437","2,373","2,853",72,"$55,260.50","$28,873.20","$26,387.30",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-22,"$6,533.92","39,989","2,354","2,869",69,"$63,802.17","$30,634.87","$33,167.30",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-23,"$4,406.89","29,462","1,779","2,663",92,"$61,923.39","$29,322.07","$32,601.32",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-24,"$3,982.04","29,216","1,663","1,878",24,"$20,661.69","$8,711.95","$11,949.74",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-25,"$3,953.39","24,486","1,376","1,659",14,"$20,892.63","$8,922.70","$11,969.93",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-26,"$4,251.00","27,522","1,572","1,935",28,"$33,478.78","$20,296.60","$13,182.18",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-27,"$3,916.21","28,106","1,498","1,866",36,"$29,000.40","$19,411.67","$9,588.73",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-28,"$4,021.64","28,647","1,607","1,893",29,"$27,432.15","$16,782.06","$10,650.09",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-29,"$4,103.62","26,062","1,430","1,701",51,"$40,218.80","$20,940.51","$19,278.29",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-30,"$3,775.83","21,687","1,247","1,703",33,"$30,729.38","$16,877.30","$13,852.08",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-31,"$3,000.61","23,402","1,196","1,553",28,"$45,311.28","$32,178.93","$13,132.35",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-01,"$2,943.59","17,003","1,020","1,198",20,"$17,619.77","$8,979.64","$8,640.13",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-02,"$17,872.20","93,354","4,683","3,907",39,"$44,950.71","$34,387.07","$10,563.64",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-03,"$18,975.16","95,773","4,851","4,380",77,"$52,845.33","$25,965.28","$26,880.05",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-04,"$18,927.78","93,433","4,615","4,142",59,"$50,980.93","$30,790.78","$20,190.15",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-05,"$18,339.01","97,268","4,793","4,308",58,"$39,886.11","$31,893.27","$7,992.84",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-06,"$18,825.70","89,642","4,068","3,798",53,"$42,756.55","$31,081.43","$11,675.12",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-07,"$6,009.37","32,730","1,450","1,845",41,"$24,342.68","$14,621.36","$9,721.32",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-08,"$6,287.81","31,738","1,204","1,510",36,"$37,179.35","$24,405.91","$12,773.44",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-09,"$6,406.47","43,479","1,629","1,784",25,"$17,098.71","$14,339.04","$2,759.67",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-10,"$6,309.46","35,030","1,482","1,949",66,"$51,620.69","$28,535.97","$23,084.72",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-11,"$6,060.92","33,231","1,407","1,726",55,"$28,482.97","$19,405.96","$9,077.01",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-12,"$6,310.60","37,254","1,542","1,664",35,"$23,148.26","$12,972.73","$10,175.53",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-13,"$6,381.92","39,897","1,540","1,440",30,"$17,020.36","$12,608.59","$4,411.77",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2025-01-14,$391.19,"3,016",119,77,0,$0.00,$0.00,$0.00,aw,DSA
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-15,"$17,036.20","28,728","10,131","9,193",363,"$352,467.95","$291,450.74","$61,017.21",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-16,"$16,755.87","31,951","10,731","9,357",295,"$274,901.70","$234,738.40","$40,163.30",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-17,"$14,593.82","36,510","12,549","10,884",180,"$176,695.90","$162,159.84","$14,536.06",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-18,"$14,672.46","33,372","11,319","10,060",190,"$166,075.27","$150,608.99","$15,466.28",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-19,"$14,824.47","32,958","11,033","9,601",187,"$181,413.98","$167,422.57","$13,991.41",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-20,"$15,974.58","32,588","10,965","10,210",485,"$398,303.49","$341,034.62","$57,268.87",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-21,"$17,318.89","33,227","11,923","10,448",356,"$275,435.39","$244,079.70","$31,355.69",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-22,"$16,301.86","36,547","13,086","11,405",379,"$366,342.39","$336,514.45","$29,827.94",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-23,"$13,997.68","39,005","14,482","14,173",382,"$314,958.43","$281,723.96","$33,234.47",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-24,"$13,635.53","40,220","13,232","10,390",168,"$204,508.30","$195,557.23","$8,951.07",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-25,"$12,598.97","27,070","8,077","6,968",107,"$132,586.03","$124,150.23","$8,435.80",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-26,"$14,518.83","33,434","10,996","9,673",253,"$259,198.47","$215,851.18","$43,347.29",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2024-12-27,"$16,076.31","35,383","11,976","10,699",232,"$227,308.65","$195,747.02","$31,561.63",aw,BRAND TERMS
